Locus type 	JGI3.1 	MpTak1_v5.1 	MpTak1_v5.1r2 	MpTak_v6.1 	MpTak_v6.1r2 	MpTak_v7.1 	Status
mRNA 	Mapoly0029s0083 	Mp1g01630 	Mp1g01630 	Mp1g01630 	Mp1g01630 	Mp1g01630 	
mRNA 	Mapoly0029s0082 	Mp1g01640 	Mp1g01640 	Mp1g01640 	Mp1g01640 	Mp1g01640 	
mRNA 	Mapoly0029s0081 	Mp1g01650 	Mp1g01650 	Mp1g01650 	Mp1g01650 	Mp1g01650 	
mRNA 	Mapoly0029s0080 	Mp1g01660 	- 	- 	- 	- 	
mRNA 	Mapoly0029s0079 	Mp1g01670 	Mp1g01670 	Mp1g01670 	Mp1g01670 	Mp1g01670 	
mRNA 	Mapoly0029s0078 	Mp1g01680 	Mp1g01680 	Mp1g01680 	Mp1g01680 	Mp1g01680 	
mRNA 	Mapoly0029s0077 	Mp1g01690 	Mp1g01690 	Mp1g01690 	Mp1g01690 	Mp1g01690 	
mRNA 	Mapoly0029s0076 	Mp1g01700 	Mp1g01700 	Mp1g01700 	Mp1g01700 	Mp1g01700 	
mRNA 	Mapoly0029s0075 	Mp1g01710 	Mp1g01710 	Mp1g01710 	Mp1g01710 	- 	deleted as of v7.1
mRNA 	Mapoly0029s0073 	Mp1g01720 	Mp1g01720 	Mp1g01720 	Mp1g01720 	Mp1g01720 	
mRNA 	Mapoly0029s0072 	Mp1g01730 	Mp1g01730 	Mp1g01730 	Mp1g01730 	Mp1g01730 	
mRNA 	Mapoly0029s0071 	Mp1g01740 	Mp1g01740 	Mp1g01740 	Mp1g01740 	Mp1g01740 	
mRNA 	Mapoly0029s0070 	Mp1g01750 	Mp1g01750 	Mp1g01750 	Mp1g01750 	Mp1g01750 	
mRNA 	Mapoly0029s0069 	Mp1g01760 	- 	- 	- 	- 	
mRNA 	- 	Mp1g01770 	Mp1g01770 	Mp1g01770 	Mp1g01770 	Mp1g01770 	
mRNA 	Mapoly0029s0068 	Mp1g01780 	Mp1g01780 	Mp1g01780 	Mp1g01780 	Mp1g01780 	
mRNA 	Mapoly0029s0067 	Mp1g01790 	Mp1g01790 	Mp1g01790 	Mp1g01790 	Mp1g01790 	
mRNA 	Mapoly0029s0066 	Mp1g01800 	- 	- 	- 	- 	
mRNA 	Mapoly0029s0065 	Mp1g01810 	Mp1g01810 	Mp1g01810 	Mp1g01810 	Mp1g01810 	
mRNA 	Mapoly0029s0064 	Mp1g01820 	Mp1g01820 	Mp1g01820 	Mp1g01820 	Mp1g01820 	
mRNA 	Mapoly0029s0063 	Mp1g01830 	Mp1g01830 	Mp1g01830 	Mp1g01830 	Mp1g01830 	
mRNA 	Mapoly0029s0062 	Mp1g01840 	Mp1g01840 	Mp1g01840 	Mp1g01840 	Mp1g01840 	
mRNA 	Mapoly0029s0061 	Mp1g01850 	Mp1g01850 	Mp1g01850 	Mp1g01850 	Mp1g01850 	
mRNA 	Mapoly0029s0060 	Mp1g01860 	Mp1g01860 	Mp1g01860 	Mp1g01860 	Mp1g01860 	
mRNA 	Mapoly0029s0059 	Mp1g01870 	Mp1g01870 	Mp1g01870 	Mp1g01870 	Mp1g01870 	
mRNA 	Mapoly0029s0058 	Mp1g01880 	Mp1g01880 	Mp1g01880 	Mp1g01880 	Mp1g01880 	
mRNA 	Mapoly0029s0057 	Mp1g01890 	Mp1g01890 	Mp1g01890 	Mp1g01890 	Mp1g01890 	
mRNA 	Mapoly0029s0056 	Mp1g01900 	Mp1g01900 	Mp1g01900 	Mp1g01900 	Mp1g01900 	
mRNA 	Mapoly0029s0055 	Mp1g01910 	Mp1g01910 	Mp1g01910 	- 	- 	deleted as of v6.1r2
mRNA 	Mapoly0029s0054 	Mp1g01920 	Mp1g01920 	Mp1g01920 	Mp1g01920 	Mp1g01920 	
mRNA 	Mapoly0029s0053 	Mp1g01930 	Mp1g01930 	Mp1g01930 	Mp1g01930 	Mp1g01930 	
mRNA 	Mapoly0029s0052 	Mp1g01940 	Mp1g01940 	Mp1g01940 	Mp1g01940 	Mp1g01940 	
mRNA 	Mapoly0029s0051 	Mp1g01950 	Mp1g01950 	Mp1g01950 	Mp1g01950 	Mp1g01950 	
mRNA 	Mapoly0029s0049 	Mp1g01960 	Mp1g01960 	Mp1g01960 	Mp1g01960 	Mp1g01960 	
mRNA 	Mapoly0029s0050 	Mp1g01970 	Mp1g01970 	Mp1g01970 	- 	- 	deleted as of v6.1r2
mRNA 	Mapoly0029s0048 	Mp1g01980 	Mp1g01980 	Mp1g01980 	Mp1g01980 	Mp1g01980 	
mRNA 	Mapoly0029s0047 	Mp1g01990 	Mp1g01990 	Mp1g01990 	Mp1g01990 	Mp1g01990 	
mRNA 	Mapoly0029s0046 	Mp1g02000 	Mp1g02000 	Mp1g02000 	Mp1g02000 	Mp1g02000 	
mRNA 	Mapoly0029s0045 	Mp1g02010 	Mp1g02010 	Mp1g02010 	Mp1g02010 	Mp1g02010 	
mRNA 	Mapoly0029s0044 	Mp1g02020 	Mp1g02020 	Mp1g02020 	Mp1g02020 	Mp1g02020 	
mRNA 	Mapoly0029s0043 	Mp1g02030 	Mp1g02030 	Mp1g02030 	Mp1g02030 	Mp1g02030 	
mRNA 	Mapoly0029s0042 	Mp1g02040 	Mp1g02040 	Mp1g02040 	Mp1g02040 	Mp1g02040 	
mRNA 	- 	Mp1g02050 	Mp1g02050 	Mp1g02050 	Mp1g02050 	Mp1g02050 	
mRNA 	Mapoly0029s0041 	Mp1g02060 	Mp1g02060 	Mp1g02060 	Mp1g02060 	Mp1g02060 	
mRNA 	Mapoly0029s0040 	Mp1g02070 	Mp1g02070 	Mp1g02070 	Mp1g02070 	Mp1g02070 	
mRNA 	Mapoly0029s0039 	Mp1g02080 	Mp1g02080 	Mp1g02080 	Mp1g02080 	Mp1g02080 	
mRNA 	Mapoly0029s0037 	Mp1g02090 	Mp1g02090 	Mp1g02090 	Mp1g02090 	Mp1g02090 	
mRNA 	Mapoly0029s0036 	Mp1g02100 	- 	- 	- 	- 	
mRNA 	- 	Mp1g02110 	- 	- 	- 	- 	
mRNA 	Mapoly0029s0035 	Mp1g02120 	Mp1g02120 	Mp1g02120 	Mp1g02120 	Mp1g02120 	
mRNA 	Mapoly0029s0034 	Mp1g02130 	Mp1g02130 	Mp1g02130 	Mp1g02130 	Mp1g02130 	
mRNA 	Mapoly0029s0033 	Mp1g02140 	Mp1g02140 	Mp1g02140 	Mp1g02140 	Mp1g02140 	
mRNA 	Mapoly0029s0032 	Mp1g02150 	Mp1g02150 	Mp1g02150 	Mp1g02150 	Mp1g02150 	
mRNA 	Mapoly0029s0031 	Mp1g02160 	Mp1g02160 	Mp1g02160 	Mp1g02160 	Mp1g02160 	
mRNA 	Mapoly0029s0030 	Mp1g02170 	Mp1g02170 	Mp1g02170 	Mp1g02170 	Mp1g02170 	
mRNA 	Mapoly0029s0029 	Mp1g02180 	Mp1g02180 	Mp1g02180 	Mp1g02180 	Mp1g02180 	
mRNA 	Mapoly0029s0028 	Mp1g02190 	Mp1g02190 	Mp1g02190 	Mp1g02190 	Mp1g02190 	
mRNA 	Mapoly0029s0027 	Mp1g02200 	Mp1g02200 	Mp1g02200 	Mp1g02200 	Mp1g02200 	
mRNA 	Mapoly0029s0026 	Mp1g02210 	Mp1g02210 	Mp1g02210 	Mp1g02210 	Mp1g02210 	
mRNA 	Mapoly0029s0025 	Mp1g02220 	Mp1g02220 	Mp1g02220 	Mp1g02220 	Mp1g02220 	
mRNA 	Mapoly0029s0024 	Mp1g02230 	Mp1g02230 	Mp1g02230 	Mp1g02230 	Mp1g02230 	
mRNA 	Mapoly0029s0023 	Mp1g02240 	Mp1g02240 	Mp1g02240 	Mp1g02240 	Mp1g02240 	
mRNA 	Mapoly0029s0022 	Mp1g02250 	Mp1g02250 	Mp1g02250 	Mp1g02250 	Mp1g02250 	
mRNA 	Mapoly0029s0021 	Mp1g02260 	Mp1g02260 	Mp1g02260 	Mp1g02260 	Mp1g02260 	
mRNA 	Mapoly0029s0020 	Mp1g02270 	Mp1g02270 	Mp1g02270 	Mp1g02270 	Mp1g02270 	
mRNA 	Mapoly0029s0019 	Mp1g02280 	Mp1g02280 	Mp1g02280 	Mp1g02280 	Mp1g02280 	
mRNA 	Mapoly0029s0018 	Mp1g02290 	Mp1g02290 	Mp1g02290 	Mp1g02290 	Mp1g02290 	
mRNA 	Mapoly0029s0017 	Mp1g02300 	Mp1g02300 	Mp1g02300 	- 	- 	deleted as of v6.1r2
mRNA 	Mapoly0029s0016 	Mp1g02310 	Mp1g02310 	Mp1g02310 	Mp1g02310 	Mp1g02310 	
mRNA 	Mapoly0029s0015 	Mp1g02320 	Mp1g02320 	Mp1g02320 	Mp1g02320 	Mp1g02320 	
mRNA 	Mapoly0029s0014 	Mp1g02330 	Mp1g02330 	Mp1g02330 	Mp1g02330 	- 	deleted as of v7.1
mRNA 	Mapoly0029s0013 	Mp1g02340 	Mp1g02340 	Mp1g02340 	Mp1g02340 	Mp1g02340 	
mRNA 	Mapoly0029s0012 	Mp1g02350 	Mp1g02350 	Mp1g02350 	Mp1g02350 	Mp1g02350 	
mRNA 	Mapoly0029s0011 	Mp1g02360 	Mp1g02360 	Mp1g02360 	Mp1g02360 	Mp1g02360 	
mRNA 	Mapoly0029s0010 	Mp1g02370 	Mp1g02370 	Mp1g02370 	Mp1g02370 	Mp1g02370 	
mRNA 	Mapoly0029s0009 	Mp1g02380 	Mp1g02380 	Mp1g02380 	Mp1g02380 	Mp1g02380 	
mRNA 	Mapoly0029s0008 	Mp1g02390 	Mp1g02390 	Mp1g02390 	Mp1g02390 	Mp1g02390 	
mRNA 	Mapoly0029s0007 	Mp1g02400 	Mp1g02400 	Mp1g02400 	- 	- 	deleted as of v6.1r2
mRNA 	Mapoly0029s0006 	Mp1g02410 	Mp1g02410 	Mp1g02410 	Mp1g02410 	Mp1g02410 	
mRNA 	Mapoly0029s0004 	Mp1g02420 	Mp1g02420 	Mp1g02420 	Mp1g02420 	Mp1g02420 	
mRNA 	Mapoly0029s0005 	Mp1g02430 	Mp1g02430 	Mp1g02430 	- 	- 	deleted as of v6.1r2
mRNA 	Mapoly0029s0003 	Mp1g02440 	Mp1g02440 	Mp1g02440 	Mp1g02440 	Mp1g02440 	
mRNA 	Mapoly0029s0002 	Mp1g02450 	Mp1g02450 	Mp1g02450 	Mp1g02450 	Mp1g02450 	
mRNA 	Mapoly0029s0001 	Mp1g02460 	- 	- 	- 	- 	
mRNA 	Mapoly2873s0001 	Mp1g02470 	Mp1g02470 	Mp1g02470 	Mp1g02470 	Mp1g02470 	
mRNA 	Mapoly0945s0001 	Mp1g02480 	Mp1g02480 	Mp1g02480 	Mp1g02480 	- 	deleted as of v7.1
mRNA 	Mapoly0575s0001 	Mp1g02490 	Mp1g02490 	Mp1g02490 	Mp1g02490 	Mp1g02490 	
mRNA 	Mapoly4246s0001 	Mp1g02500 	Mp1g02500 	Mp1g02500 	Mp1g02500 	Mp1g02500 	
mRNA 	- 	Mp1g02510 	Mp1g02510 	Mp1g02510 	Mp1g02510 	Mp1g02510 	
mRNA 	Mapoly1940s0001 	Mp1g02520 	Mp1g02520 	Mp1g02520 	Mp1g02520 	Mp1g02520 	
mRNA 	Mapoly0113s0001 	Mp1g02530 	Mp1g02530 	Mp1g02530 	Mp1g02530 	Mp1g02530 	
mRNA 	Mapoly0113s0002 	Mp1g02540 	Mp1g02540 	Mp1g02540 	Mp1g02540 	Mp1g02540 	
mRNA 	Mapoly0113s0003 	Mp1g02550 	Mp1g02550 	Mp1g02550 	Mp1g02550 	Mp1g02550 	
mRNA 	Mapoly0113s0004 	Mp1g02560 	Mp1g02560 	Mp1g02560 	Mp1g02560 	Mp1g02560 	
mRNA 	Mapoly0113s0005 	Mp1g02570 	Mp1g02570 	Mp1g02570 	Mp1g02570 	Mp1g02570 	
mRNA 	Mapoly0113s0006 	Mp1g02580 	Mp1g02580 	Mp1g02580 	Mp1g02580 	Mp1g02580 	
mRNA 	Mapoly0113s0007 	Mp1g02590 	Mp1g02590 	Mp1g02590 	Mp1g02590 	Mp1g02590 	
mRNA 	Mapoly0113s0008 	Mp1g02600 	Mp1g02600 	Mp1g02600 	Mp1g02600 	Mp1g02600 	
mRNA 	Mapoly0113s0009 	Mp1g02610 	Mp1g02610 	Mp1g02610 	Mp1g02610 	Mp1g02610 	
mRNA 	Mapoly0113s0010 	Mp1g02620 	Mp1g02620 	Mp1g02620 	Mp1g02620 	Mp1g02620 	
mRNA 	Mapoly0113s0011 	Mp1g02630 	Mp1g02630 	Mp1g02630 	Mp1g02630 	Mp1g02630 	
mRNA 	Mapoly0113s0012 	Mp1g02640 	Mp1g02640 	Mp1g02640 	Mp1g02640 	Mp1g02640 	
mRNA 	Mapoly0113s0013 	Mp1g02650 	Mp1g02650 	Mp1g02650 	Mp1g02650 	Mp1g02650 	
mRNA 	Mapoly0113s0014 	Mp1g02660 	Mp1g02660 	Mp1g02660 	Mp1g02660 	Mp1g02660 	
mRNA 	Mapoly0113s0015 	Mp1g02670 	Mp1g02670 	Mp1g02670 	Mp1g02670 	Mp1g02670 	
mRNA 	Mapoly0113s0016 	Mp1g02680 	Mp1g02680 	Mp1g02680 	Mp1g02680 	Mp1g02680 	
mRNA 	Mapoly0113s0017 	Mp1g02690 	Mp1g02690 	Mp1g02690 	Mp1g02690 	Mp1g02690 	
mRNA 	Mapoly0113s0018 	Mp1g02700 	Mp1g02700 	Mp1g02700 	Mp1g02700 	Mp1g02700 	
mRNA 	Mapoly0113s0019 	Mp1g02710 	Mp1g02710 	Mp1g02710 	Mp1g02710 	Mp1g02710 	
mRNA 	Mapoly0113s0020 	Mp1g02720 	Mp1g02720 	Mp1g02720 	Mp1g02720 	Mp1g02720 	
mRNA 	Mapoly0113s0021 	Mp1g02730 	Mp1g02730 	Mp1g02730 	Mp1g02730 	Mp1g02730 	
mRNA 	Mapoly0113s0022 	Mp1g02740 	Mp1g02740 	Mp1g02740 	Mp1g02740 	Mp1g02740 	
mRNA 	Mapoly0113s0023 	Mp1g02750 	Mp1g02750 	Mp1g02750 	Mp1g02750 	Mp1g02750 	
mRNA 	Mapoly0113s0024 	Mp1g02760 	Mp1g02760 	Mp1g02760 	Mp1g02760 	Mp1g02760 	
mRNA 	Mapoly0113s0025 	Mp1g02770 	Mp1g02770 	Mp1g02770 	Mp1g02770 	Mp1g02770 	
mRNA 	Mapoly0113s0026 	Mp1g02780 	Mp1g02780 	Mp1g02780 	Mp1g02780 	Mp1g02780 	
mRNA 	Mapoly0113s0027 	Mp1g02790 	Mp1g02790 	Mp1g02790 	Mp1g02790 	Mp1g02790 	
mRNA 	Mapoly0113s0028 	Mp1g02800 	- 	- 	- 	- 	
mRNA 	Mapoly0113s0029 	Mp1g02810 	Mp1g02810 	Mp1g02810 	Mp1g02810 	Mp1g02810 	
mRNA 	Mapoly0113s0030 	Mp1g02820 	Mp1g02820 	Mp1g02820 	Mp1g02820 	Mp1g02820 	
mRNA 	Mapoly0113s0031 	Mp1g02830 	Mp1g02830 	Mp1g02830 	Mp1g02830 	Mp1g02830 	
mRNA 	Mapoly0113s0032 	Mp1g02840 	Mp1g02840 	Mp1g02840 	Mp1g02840 	Mp1g02840 	
mRNA 	Mapoly0113s0033 	Mp1g02850 	Mp1g02850 	Mp1g02850 	Mp1g02850 	Mp1g02850 	
mRNA 	Mapoly0113s0034 	Mp1g02860 	Mp1g02860 	Mp1g02860 	Mp1g02860 	Mp1g02860 	
mRNA 	Mapoly0113s0035 	Mp1g02870 	- 	- 	- 	- 	
mRNA 	Mapoly0113s0036 	Mp1g02880 	Mp1g02880 	Mp1g02880 	Mp1g02880 	Mp1g02880 	
mRNA 	Mapoly0113s0037 	Mp1g02890 	Mp1g02890 	Mp1g02890 	Mp1g02890 	Mp1g02890 	
mRNA 	Mapoly0113s0039 	Mp1g02900 	Mp1g02900 	Mp1g02900 	Mp1g02900 	Mp1g02900 	
mRNA 	Mapoly0113s0040 	Mp1g02910 	Mp1g02910 	Mp1g02910 	Mp1g02910 	Mp1g02910 	
mRNA 	Mapoly0113s0041 	Mp1g02920 	Mp1g02920 	Mp1g02920 	Mp1g02920 	Mp1g02920 	
mRNA 	Mapoly0113s0042 	Mp1g02930 	Mp1g02930 	Mp1g02930 	Mp1g02930 	Mp1g02930 	
mRNA 	Mapoly0113s0043 	Mp1g02940 	Mp1g02940 	Mp1g02940 	Mp1g02940 	Mp1g02940 	
mRNA 	Mapoly0113s0044 	Mp1g02950 	Mp1g02950 	Mp1g02950 	Mp1g02950 	Mp1g02950 	
mRNA 	Mapoly0113s0045 	Mp1g02960 	Mp1g02960 	Mp1g02960 	Mp1g02960 	Mp1g02960 	
mRNA 	Mapoly0113s0046 	Mp1g02970 	Mp1g02970 	Mp1g02970 	Mp1g02970 	Mp1g02970 	
mRNA 	Mapoly0113s0047 	Mp1g02980 	Mp1g02980 	Mp1g02980 	Mp1g02980 	Mp1g02980 	
mRNA 	- 	Mp1g02990 	Mp1g02990 	Mp1g02990 	Mp1g02990 	Mp1g02990 	
mRNA 	Mapoly0113s0048 	Mp1g03000 	Mp1g03000 	Mp1g03000 	Mp1g03000 	Mp1g03000 	
mRNA 	Mapoly0113s0049 	Mp1g03010 	Mp1g03010 	Mp1g03010 	Mp1g03010 	Mp1g03010 	
mRNA 	Mapoly0113s0050 	Mp1g03020 	Mp1g03020 	Mp1g03020 	Mp1g03020 	Mp1g03020 	
mRNA 	Mapoly0113s0051 	Mp1g03030 	Mp1g03030 	Mp1g03030 	Mp1g03030 	Mp1g03030 	
mRNA 	Mapoly0113s0052 	Mp1g03040 	Mp1g03040 	Mp1g03040 	Mp1g03040 	Mp1g03040 	
mRNA 	Mapoly0113s0053 	Mp1g03050 	- 	- 	- 	- 	
mRNA 	Mapoly0113s0054 	Mp1g03060 	Mp1g03060 	Mp1g03060 	Mp1g03060 	Mp1g03060 	
mRNA 	Mapoly0113s0055 	Mp1g03070 	Mp1g03070 	Mp1g03070 	Mp1g03070 	Mp1g03070 	
mRNA 	Mapoly0113s0056 	Mp1g03080 	Mp1g03080 	Mp1g03080 	Mp1g03080 	Mp1g03080 	
mRNA 	Mapoly0113s0057 	Mp1g03090 	Mp1g03090 	Mp1g03090 	Mp1g03090 	Mp1g03090 	
mRNA 	Mapoly0113s0058 	Mp1g03100 	Mp1g03100 	Mp1g03100 	Mp1g03100 	Mp1g03100 	
mRNA 	Mapoly0113s0060 	Mp1g03110 	Mp1g03110 	Mp1g03110 	Mp1g03110 	Mp1g03110 	
mRNA 	Mapoly0113s0061 	Mp1g03120 	Mp1g03120 	Mp1g03120 	Mp1g03120 	Mp1g03120 	
mRNA 	Mapoly0113s0062 	Mp1g03130 	Mp1g03130 	Mp1g03130 	Mp1g03130 	Mp1g03130 	
mRNA 	Mapoly0005s0293 	Mp1g03140 	Mp1g03140 	Mp1g03140 	Mp1g03140 	Mp1g03140 	
mRNA 	Mapoly0005s0292 	Mp1g03150 	Mp1g03150 	Mp1g03150 	Mp1g03150 	Mp1g03150 	
mRNA 	Mapoly0005s0291 	Mp1g03160 	Mp1g03160 	Mp1g03160 	Mp1g03160 	Mp1g03160 	
mRNA 	Mapoly0005s0290 	Mp1g03170 	Mp1g03170 	Mp1g03170 	Mp1g03170 	Mp1g03170 	
mRNA 	Mapoly0005s0289 	Mp1g03180 	Mp1g03180 	Mp1g03180 	Mp1g03180 	Mp1g03180 	
mRNA 	Mapoly0005s0288 	Mp1g03190 	Mp1g03190 	Mp1g03190 	Mp1g03190 	Mp1g03190 	
mRNA 	Mapoly0005s0287 	Mp1g03200 	Mp1g03200 	Mp1g03200 	Mp1g03200 	Mp1g03200 	
mRNA 	Mapoly0005s0286 	Mp1g03210 	Mp1g03210 	Mp1g03210 	Mp1g03210 	Mp1g03210 	
mRNA 	Mapoly0005s0285 	Mp1g03220 	Mp1g03220 	Mp1g03220 	Mp1g03220 	Mp1g03220 	
mRNA 	Mapoly0005s0284 	Mp1g03230 	Mp1g03230 	Mp1g03230 	Mp1g03230 	Mp1g03230 	
mRNA 	Mapoly0005s0283 	Mp1g03240 	Mp1g03240 	Mp1g03240 	Mp1g03240 	Mp1g03240 	
mRNA 	Mapoly0005s0282 	Mp1g03250 	Mp1g03250 	Mp1g03250 	Mp1g03250 	Mp1g03250 	
mRNA 	Mapoly0005s0281 	Mp1g03260 	Mp1g03260 	Mp1g03260 	Mp1g03260 	Mp1g03260 	
mRNA 	Mapoly0005s0280 	Mp1g03270 	Mp1g03270 	Mp1g03270 	Mp1g03270 	Mp1g03270 	
mRNA 	Mapoly0005s0279 	Mp1g03280 	Mp1g03280 	Mp1g03280 	Mp1g03280 	Mp1g03280 	
mRNA 	Mapoly0005s0278 	Mp1g03290 	Mp1g03290 	Mp1g03290 	Mp1g03290 	Mp1g03290 	
mRNA 	Mapoly0005s0277 	Mp1g03300 	Mp1g03300 	Mp1g03300 	Mp1g03300 	Mp1g03300 	
mRNA 	Mapoly0005s0276 	Mp1g03310 	Mp1g03310 	Mp1g03310 	Mp1g03310 	Mp1g03310 	
mRNA 	Mapoly0005s0275 	Mp1g03320 	Mp1g03320 	Mp1g03320 	Mp1g03320 	Mp1g03320 	
mRNA 	Mapoly0005s0274 	Mp1g03330 	- 	- 	- 	- 	
mRNA 	Mapoly0005s0273 	Mp1g03340 	Mp1g03340 	Mp1g03340 	Mp1g03340 	Mp1g03340 	
mRNA 	Mapoly0005s0272 	Mp1g03350 	- 	- 	- 	- 	
mRNA 	Mapoly0005s0271 	Mp1g03360 	Mp1g03360 	Mp1g03360 	Mp1g03360 	- 	deleted as of v7.1
mRNA 	Mapoly0005s0270 	Mp1g03370 	Mp1g03370 	Mp1g03370 	Mp1g03370 	Mp1g03370 	
mRNA 	Mapoly0005s0269 	Mp1g03380 	Mp1g03380 	Mp1g03380 	Mp1g03380 	Mp1g03380 	
mRNA 	Mapoly0005s0268 	Mp1g03390 	Mp1g03390 	Mp1g03390 	Mp1g03390 	Mp1g03390 	
mRNA 	Mapoly0005s0267 	Mp1g03400 	Mp1g03400 	Mp1g03400 	Mp1g03400 	Mp1g03400 	
mRNA 	Mapoly0005s0266 	Mp1g03410 	Mp1g03410 	Mp1g03410 	Mp1g03410 	Mp1g03410 	
mRNA 	Mapoly0005s0265 	Mp1g03420 	Mp1g03420 	Mp1g03420 	Mp1g03420 	Mp1g03420 	
mRNA 	Mapoly0005s0264 	Mp1g03430 	Mp1g03430 	Mp1g03430 	Mp1g03430 	Mp1g03430 	
mRNA 	Mapoly0005s0263 	Mp1g03440 	Mp1g03440 	Mp1g03440 	Mp1g03440 	Mp1g03440 	
mRNA 	Mapoly0005s0262 	Mp1g03450 	Mp1g03450 	Mp1g03450 	Mp1g03450 	Mp1g03450 	
mRNA 	Mapoly0005s0261 	Mp1g03460 	Mp1g03460 	Mp1g03460 	Mp1g03460 	Mp1g03460 	
mRNA 	Mapoly0005s0260 	Mp1g03470 	- 	- 	- 	- 	
mRNA 	Mapoly0005s0259 	Mp1g03480 	Mp1g03480 	Mp1g03480 	Mp1g03480 	Mp1g03480 	
mRNA 	Mapoly0005s0258 	Mp1g03490 	Mp1g03490 	Mp1g03490 	Mp1g03490 	Mp1g03490 	
mRNA 	Mapoly0005s0257 	Mp1g03500 	Mp1g03500 	Mp1g03500 	Mp1g03500 	Mp1g03500 	
